Type,Name,Valid,Air,Earth,Fire,Water,Life,Magic,Ingredient 1,,Ingredient 2,,Ingredient 3,,Ingredient 4,,Ingredient 5,,Ingredient 6,,Ingredient 7,,Ingredient 8,,Ingredient 9
minecraft,bamboo_trapdoor,Yes,0,0,0,0,12,0,util.wooden_trapdoor,1,,,,,,,,,,,,,,,
util,banner,No,48,0,0,48,48,0,util.wool,6,,,,,,,,,,,,,,,
minecraft,barrel,Yes,0,0,0,0,28,0,util.planks,6,util.wooden_slab,2,,,,,,,,,,,,,
minecraft,barrier,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,basalt,Yes,0,0,0,0,0,0,util.stone,,,,,,,,,,,,,,,,
minecraft,beacon,Yes,64,122,112,0,0,176,minecraft.glass,5,minecraft.nether_star,1,minecraft.obsidian,3,,,,,,,,,,,
util,bed,No,24,0,0,24,36,0,util.wool,3,util.planks,3,,,,,,,,,,,,,
minecraft,bedrock,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,bee_nest,Yes,4,0,0,0,4,0,,,,,,,,,,,,,,,,,
minecraft,beehive,Yes,12,6,0,12,30,0,util.planks,6,minecraft.honeycomb,3,,,,,,,,,,,,,
minecraft,beetroot_seeds,Yes,0,2,0,2,2,0,util.seeds,1,,,,,,,,,,,,,,,
minecraft,beetroot,Yes,0,1,0,1,1,0,,,,,,,,,,,,,,,,,
minecraft,beetroot_soup,Yes,0,6,0,6,18,0,minecraft.beetroot,6,minecraft.bowl,1,,,,,,,,,,,,,
minecraft,bell,Yes,0,68,0,0,6,0,minecraft.gold_ingot,2,minecraft.smooth_stone_slab,4,minecraft.stick,3,,,,,,,,,,,
minecraft,big_dripleaf,Yes,0,0,0,0,4,0,,,,,,,,,,,,,,,,,
minecraft,birch_boat,Yes,0,0,0,0,20,0,util.boat,1,,,,,,,,,,,,,,,
minecraft,birch_button,Yes,0,0,0,0,4,0,util.wooden_button,1,,,,,,,,,,,,,,,
minecraft,birch_chest_boat,Yes,0,0,0,0,52,0,util.chest_boat,1,,,,,,,,,,,,,,,
minecraft,birch_door,Yes,0,0,0,0,4,0,util.wooden_door,0.5,,,,,,,,,,,,,,,
minecraft,birch_fence,Yes,0,0,0,0,8.33,0,util.fence,1,,,,,,,,,,,,,,,
minecraft,birch_fence_gate,Yes,0,0,0,0,16,0,util.fence_gate,1,,,,,,,,,,,,,,,
minecraft,birch_hanging_sign,Yes,0,7,0,0,16,0,util.hanging_sign,1,,,,,,,,,,,,,,,
minecraft,birch_leaves,Yes,2,0,0,1,2,0,util.leaves,1,,,,,,,,,,,,,,,
minecraft,birch_log,Yes,0,0,0,0,16,0,util.log,1,,,,,,,,,,,,,,,
minecraft,birch_planks,Yes,0,0,0,0,4,0,util.planks,1,,,,,,,,,,,,,,,
minecraft,birch_pressure_plate,Yes,0,0,0,0,8,0,util.wooden_pressure_plate,1,,,,,,,,,,,,,,,
minecraft,birch_sapling,Yes,0,0,0,2,2,0,util.sapling,1,,,,,,,,,,,,,,,
minecraft,birch_sign,Yes,0,0,0,0,8.67,0,util.sign,1,,,,,,,,,,,,,,,
minecraft,birch_slab,Yes,0,0,0,0,2,0,util.wooden_slab,1,,,,,,,,,,,,,,,
minecraft,birch_stairs,Yes,0,0,0,0,6,0,util.wooden_stairs,1,,,,,,,,,,,,,,,
minecraft,birch_trapdoor,Yes,0,0,0,0,12,0,util.wooden_trapdoor,1,,,,,,,,,,,,,,,
minecraft,birch_wood,Yes,0,0,0,0,16,0,minecraft.birch_log,1,,,,,,,,,,,,,,,
minecraft,black_banner,Yes,48,0,0,48,48,0,util.banner,1,,,,,,,,,,,,,,,
minecraft,black_bed,Yes,24,0,0,24,36,0,util.bed,1,,,,,,,,,,,,,,,
minecraft,black_candle,Yes,6,6,0,10,4,0,minecraft.candle,1,util.dye,1,,,,,,,,,,,,,
minecraft,black_carpet,Yes,5.33,0,0,5.33,5.33,0,util.wool,0.67,,,,,,,,,,,,,,,
minecraft,black_concrete,Yes,0,20,0,6,0,0,util.concrete,1,,,,,,,,,,,,,,,
minecraft,black_concrete_powder,Yes,0,20,0,4,0,0,util.concrete_powder,1,,,,,,,,,,,,,,,
minecraft,black_dye,Yes,0,4,0,4,0,0,util.dye,1,,,,,,,,,,,,,,,
minecraft,black_glazed_terracotta,Yes,0,0,0,0,0,0,minecraft.terracotta,1,,,,,,,,,,,,,,,
minecraft,black_shulker_box,Yes,16,16,0,0,40,16,minecraft.shulker_box,1,,,,,,,,,,,,,,,
minecraft,black_stained_glass,Yes,0,2,0,0,0,0,minecraft.glass,1,,,,,,,,,,,,,,,
minecraft,black_stained_glass_pane,Yes,0,1,0,0,0,0,minecraft.glass,0.38,,,,,,,,,,,,,,,
minecraft,black_terracotta,Yes,0,0,0,0,0,0,minecraft.terracotta,1,,,,,,,,,,,,,,,
minecraft,black_wool,Yes,8,0,0,8,8,0,util.wool,1,,,,,,,,,,,,,,,
minecraft,blackstone,Yes,0,2,0,0,0,0,util.stone,1,,,,,,,,,,,,,,,
minecraft,blackstone_slab,Yes,0,1,0,0,0,0,minecraft.blackstone,0.5,,,,,,,,,,,,,,,
minecraft,blackstone_stairs,Yes,0,3,0,0,0,0,minecraft.blackstone,1.5,,,,,,,,,,,,,,,
minecraft,blackstone_wall,Yes,0,2,0,0,0,0,minecraft.blackstone,1,,,,,,,,,,,,,,,
minecraft,blade_pottery_sherd,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,blast_furnace,Yes,0,98,0,0,0,0,minecraft.iron_ingot,5,minecraft.furnace,1,minecraft.smooth_stone,1,,,,,,,,,,,
minecraft,blaze_powder,Yes,2,4,4,0,2,2,minecraft.blaze_rod,0.5,,,,,,,,,,,,,,,
minecraft,blaze_rod,Yes,4,8,8,0,4,4,,,,,,,,,,,,,,,,,
minecraft,blue_banner,Yes,48,0,0,48,48,0,util.banner,1,,,,,,,,,,,,,,,
minecraft,blue_bed,Yes,24,0,0,24,36,0,util.bed,1,,,,,,,,,,,,,,,
minecraft,blue_candle,Yes,6,6,0,10,4,0,minecraft.candle,1,util.dye,1,,,,,,,,,,,,,
minecraft,blue_carpet,Yes,5.33,0,0,5.33,5.33,0,util.wool,0.67,,,,,,,,,,,,,,,
minecraft,blue_concrete,Yes,0,20,0,6,0,0,util.concrete,1,,,,,,,,,,,,,,,
minecraft,blue_concrete_powder,Yes,0,20,0,4,0,0,util.concrete_powder,1,,,,,,,,,,,,,,,
minecraft,blue_dye,Yes,0,4,0,4,0,0,util.dye,1,,,,,,,,,,,,,,,
minecraft,blue_glazed_terracotta,Yes,0,0,0,0,0,0,minecraft.terracotta,1,,,,,,,,,,,,,,,
minecraft,blue_ice,Yes,162,0,0,162,0,0,minecraft.packed_ice,9,,,,,,,,,,,,,,,
minecraft,blue_orchid,Yes,0,0,0,2,2,0,util.flower,1,,,,,,,,,,,,,,,
minecraft,blue_shulker_box,Yes,16,16,0,0,40,16,minecraft.shulker_box,1,,,,,,,,,,,,,,,
minecraft,blue_stained_glass,Yes,0,2,0,0,0,0,minecraft.glass,1,,,,,,,,,,,,,,,
minecraft,blue_stained_glass_pane,Yes,0,1,0,0,0,0,minecraft.glass_pane,1,,,,,,,,,,,,,,,
minecraft,blue_terracotta,Yes,0,0,0,0,0,0,minecraft.terracotta,1,,,,,,,,,,,,,,,
minecraft,blue_wool,Yes,8,0,0,8,8,0,util.wool,1,,,,,,,,,,,,,,,
util,boat,No,0,0,0,0,20,0,util.planks,5,,,,,,,,,,,,,,,
minecraft,bolt_armor_trim,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,bone,Yes,0,8,0,0,8,0,minecraft.bone_meal,8,,,,,,,,,,,,,,,
minecraft,bone_block,Yes,0,9,0,0,9,0,minecraft.bone_meal,9,,,,,,,,,,,,,,,
minecraft,bone_meal,Yes,0,1,0,0,1,0,,,,,,,,,,,,,,,,,
minecraft,book,Yes,0,10,0,6,4,0,minecraft.paper,3,minecraft.leather,1,,,,,,,,,,,,,
minecraft,bookshelf,Yes,0,30,0,18,36,0,util.planks,6,minecraft.book,3,,,,,,,,,,,,,
minecraft,bordure_indented_banner_pattern,Yes,0,2,0,3,2,0,minecraft.paper,1,minecraft.vines,1,,,,,,,,,,,,,
minecraft,bow,Yes,6,0,0,6,12,0,minecraft.stick,3,minecraft.string,3,,,,,,,,,,,,,
minecraft,bowl,Yes,0,0,0,0,12,0,util.planks,3,,,,,,,,,,,,,,,
minecraft,brain_coral,Yes,0,2,0,4,2,0,util.coral,1,,,,,,,,,,,,,,,
minecraft,brain_coral_block,Yes,0,4,0,8,4,0,util.coral_block,1,,,,,,,,,,,,,,,
minecraft,brain_coral_fan,Yes,0,2,0,4,2,0,util.coral_fan,1,,,,,,,,,,,,,,,
minecraft,bread,Yes,12,12,0,12,12,0,minecraft.wheat,3,,,,,,,,,,,,,,,
minecraft,brewery_pottery_sherd,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,brewing_stand,Yes,4,14,8,0,4,4,minecraft.blaze_rod,1,util.stone,3,,,,,,,,,,,,,
minecraft,brick,Yes,0,4,2,2,0,0,,,,,,,,,,,,,,,,,
minecraft,brick_slab,Yes,0,8,4,4,0,0,minecraft.bricks,0.5,,,,,,,,,,,,,,,
minecraft,brick_stairs,Yes,0,24,12,12,0,0,minecraft.bricks,1.5,,,,,,,,,,,,,,,
minecraft,brick_wall,Yes,0,16,8,8,0,0,minecraft.bricks,1,,,,,,,,,,,,,,,
minecraft,bricks,Yes,0,16,8,8,0,0,minecraft.brick,4,,,,,,,,,,,,,,,
minecraft,brown_banner,Yes,48,0,0,48,48,0,util.banner,1,,,,,,,,,,,,,,,
minecraft,brown_bed,Yes,24,0,0,24,36,0,util.bed,1,,,,,,,,,,,,,,,
minecraft,brown_candle,Yes,6,6,0,10,4,0,minecraft.candle,1,util.dye,1,,,,,,,,,,,,,
minecraft,brown_carpet,Yes,5.33,0,0,5.33,5.33,0,util.wool,0.67,,,,,,,,,,,,,,,
minecraft,brown_concrete,Yes,0,20,0,6,0,0,util.concrete,1,,,,,,,,,,,,,,,
minecraft,brown_concrete_powder,Yes,0,20,0,4,0,0,util.concrete_powder,1,,,,,,,,,,,,,,,
minecraft,brown_dye,Yes,0,4,0,4,0,0,util.dye,1,,,,,,,,,,,,,,,
minecraft,brown_glazed_terracotta,Yes,0,0,0,0,0,0,minecraft.terracotta,1,,,,,,,,,,,,,,,
minecraft,brown_mushroom,Yes,0,2,0,0,2,0,util.mushroom,1,,,,,,,,,,,,,,,
minecraft,brown_mushroom_block,Yes,0,18,0,0,18,0,minecraft.brown_mushroom,9,,,,,,,,,,,,,,,
minecraft,brown_shulker_box,Yes,16,16,0,0,40,16,minecraft.shulker_box,1,,,,,,,,,,,,,,,
minecraft,brown_stained_glass,Yes,0,2,0,0,0,0,minecraft.glass,1,,,,,,,,,,,,,,,
minecraft,brown_stained_glass_pane,Yes,0,0.75,0,0,0,0,minecraft.glass_pane,1,,,,,,,,,,,,,,,
minecraft,brown_terracotta,Yes,0,0,0,0,0,0,minecraft.terracotta,1,,,,,,,,,,,,,,,
minecraft,brown_wool,Yes,8,0,0,8,8,0,util.wool,1,,,,,,,,,,,,,,,
minecraft,brush,Yes,4,16,0,0,4,0,minecraft.feather,1,minecraft.copper_ingot,1,minecraft.stick,1,,,,,,,,,,,
minecraft,bubble_column,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,bubble_coral,Yes,0,2,0,4,2,0,util.coral,1,,,,,,,,,,,,,,,
minecraft,bubble_coral_block,Yes,0,4,0,8,4,0,util.coral_block,1,,,,,,,,,,,,,,,
minecraft,bubble_coral_fan,Yes,0,2,0,4,2,0,util.coral_fan,1,,,,,,,,,,,,,,,
minecraft,bucket,Yes,0,48,0,0,0,0,minecraft.iron_ingot,3,,,,,,,,,,,,,,,
minecraft,budding_amethyst,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,bundle,Yes,2,4,0,2,6,0,minecraft.string,1,minecraft.leather,1,,,,,,,,,,,,,
minecraft,burn_pottery_sherd,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,bush,Yes,0,0,0,2,2,0,util.sapling,1,,,,,,,,,,,,,,,
minecraft,cactus,Yes,0,0,0,4,2,0,,,,,,,,,,,,,,,,,
minecraft,cactus_flower,Yes,0,0,0,1,2,0,,,,,,,,,,,,,,,,,
minecraft,cake,Yes,13,156,0,33,34,0,minecraft.milk_bucket,3,minecraft.sugar,2,minecraft.egg,1,minecraft.wheat,3,,,,,,,,,
minecraft,calcite,Yes,0,2,0,0,0,0,util.stone,1,,,,,,,,,,,,,,,
minecraft,calibrated_sculk_sensor,Yes,12,64,0,0,16,76,minecraft.amethyst_shard,3,minecraft.sculk_sensor,1,,,,,,,,,,,,,
minecraft,campfire,Yes,0,4,4,0,54,0,minecraft.stick,3,util.coal_charcoal,1,util.log,3,,,,,,,,,,,
minecraft,candle,Yes,6,2,0,6,4,0,minecraft.string,1,minecraft.honeycomb,1,,,,,,,,,,,,,
minecraft,carrot,Yes,0,1,0,1,1,0,,,,,,,,,,,,,,,,,
minecraft,carrot_on_a_stick,Yes,4,1,0,5,11,0,minecraft.fishing_rod,1,minecraft.carrot,1,,,,,,,,,,,,,
minecraft,carrots,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,cartography_table,Yes,0,4,0,4,16,0,minecraft.paper,2,util.planks,4,,,,,,,,,,,,,
minecraft,carved_pumpkin,Yes,0,0,0,4,4,0,minecraft.pumpkin,1,,,,,,,,,,,,,,,
minecraft,cauldron,Yes,0,112,0,0,0,0,minecraft.iron_ingot,7,,,,,,,,,,,,,,,
minecraft,cave_vines,Yes,0,0,0,1,2,0,,,,,,,,,,,,,,,,,
minecraft,chain,Yes,0,20,0,0,0,0,minecraft.iron_nugget,2,minecraft.iron_ingot,1,,,,,,,,,,,,,
minecraft,chain_command_block,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,chainmail_boots,Yes,0,16,0,0,0,0,,,,,,,,,,,,,,,,,
minecraft,chainmail_chestplate,Yes,0,32,0,0,0,0,,,,,,,,,,,,,,,,,
minecraft,chainmail_helmet,Yes,0,24,0,0,0,0,,,,,,,,,,,,,,,,,
minecraft,chainmail_leggings,Yes,0,28,0,0,0,0,,,,,,,,,,,,,,,,,
minecraft,charcoal,Yes,0,4,4,0,0,0,util.coal_charcoal,1,,,,,,,,,,,,,,,
minecraft,cherry_boat,Yes,0,0,0,0,20,0,util.boat,1,,,,,,,,,,,,,,,
minecraft,cherry_button,Yes,0,0,0,0,4,0,util.wooden_button,1,,,,,,,,,,,,,,,
minecraft,cherry_chest_boat,Yes,0,0,0,0,52,0,util.chest_boat,1,,,,,,,,,,,,,,,
minecraft,cherry_door,Yes,0,0,0,0,8,0,util.wooden_door,1,,,,,,,,,,,,,,,
minecraft,cherry_fence,Yes,0,0,0,0,8.33,0,util.fence,1,,,,,,,,,,,,,,,
minecraft,cherry_fence_gate,Yes,0,0,0,0,16,0,util.fence_gate,1,,,,,,,,,,,,,,,
minecraft,cherry_hanging_sign,Yes,0,6.52,0,0,16,0,util.hanging_sign,1,,,,,,,,,,,,,,,
minecraft,cherry_leaves,Yes,2,0,0,1,2,0,util.leaves,1,,,,,,,,,,,,,,,
minecraft,cherry_log,Yes,0,0,0,0,16,0,util.log,1,,,,,,,,,,,,,,,
minecraft,cherry_planks,Yes,0,0,0,0,4,0,util.planks,1,,,,,,,,,,,,,,,
minecraft,cherry_pressure_plate,Yes,0,0,0,0,8,0,util.wooden_pressure_plate,1,,,,,,,,,,,,,,,
minecraft,cherry_sapling,Yes,0,0,0,2,2,0,util.sapling,1,,,,,,,,,,,,,,,
minecraft,cherry_sign,Yes,0,0,0,0,8.67,0,util.sign,1,,,,,,,,,,,,,,,
minecraft,cherry_slab,Yes,0,0,0,0,2,0,util.wooden_slab,1,,,,,,,,,,,,,,,
minecraft,cherry_stairs,Yes,0,0,0,0,6,0,util.wooden_stairs,1,,,,,,,,,,,,,,,
minecraft,cherry_trapdoor,Yes,0,0,0,0,12,0,util.wooden_trapdoor,1,,,,,,,,,,,,,,,
minecraft,cherry_wood,Yes,0,0,0,0,16,0,util.log,1,,,,,,,,,,,,,,,
minecraft,chest,Yes,0,0,0,0,32,0,util.planks,8,,,,,,,,,,,,,,,
util,chest_boat,No,0,0,0,0,52,0,util.planks,5,minecraft.chest,1,,,,,,,,,,,,,
minecraft,chest_minecart,Yes,0,80,0,0,32,0,minecraft.minecart,1,minecraft.chest,1,,,,,,,,,,,,,
minecraft,chipped_anvil,Yes,0,496,0,0,0,0,minecraft.anvil,1,,,,,,,,,,,,,,,
minecraft,chiseled_bookshelf,Yes,0,0,0,0,30,0,util.planks,6,util.wooden_slab,3,,,,,,,,,,,,,
minecraft,chiseled_copper,Yes,0,144,0,0,0,0,minecraft.copper_block,1,,,,,,,,,,,,,,,
minecraft,chiseled_deepslate,Yes,0,2,0,0,0,0,util.stone,1,,,,,,,,,,,,,,,
minecraft,chiseled_nether_bricks,Yes,0,8,8,0,0,0,minecraft.nether_bricks,1,,,,,,,,,,,,,,,
minecraft,chiseled_polished_blackstone,Yes,0,2,0,0,0,0,util.stone,1,,,,,,,,,,,,,,,
minecraft,chiseled_quartz_block,Yes,16,32,32,0,0,0,minecraft.quartz_block,1,,,,,,,,,,,,,,,
minecraft,chiseled_red_sandstone,Yes,0,8,0,0,0,0,minecraft.red_sandstone,1,,,,,,,,,,,,,,,
minecraft,chiseled_sandstone,Yes,0,8,0,0,0,0,minecraft.red_sandstone,1,,,,,,,,,,,,,,,
minecraft,chiseled_stone_bricks,Yes,0,2,0,0,0,0,minecraft.stone_bricks,1,,,,,,,,,,,,,,,
minecraft,chiseled_tuff,Yes,0,2,0,0,0,0,minecraft.tuff,1,,,,,,,,,,,,,,,
minecraft,chiseled_tuff_bricks,Yes,0,2,0,0,0,0,minecraft.tuff,1,,,,,,,,,,,,,,,
minecraft,chorus_flower,Yes,8,2,0,2,8,16,,,,,,,,,,,,,,,,,
minecraft,chorus_fruit,Yes,8,4,0,0,4,8,,,,,,,,,,,,,,,,,
minecraft,chorus_plant,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,clay,Yes,0,16,0,16,0,0,minecraft.clay_ball,4,,,,,,,,,,,,,,,
minecraft,clay_ball,Yes,0,4,0,4,0,0,,,,,,,,,,,,,,,,,
minecraft,clock,Yes,0,136,8,0,0,8,minecraft.gold_ingot,4,minecraft.redstone_dust,1,,,,,,,,,,,,,
minecraft,coal,Yes,0,4,4,0,0,0,util.coal_charcoal,1,,,,,,,,,,,,,,,
minecraft,coal_block,Yes,0,36,36,0,0,0,minecraft.coal,9,,,,,,,,,,,,,,,
util,coal_charcoal,No,0,4,4,0,0,0,,,,,,,,,,,,,,,,,
minecraft,coal_ore,Yes,0,6,4,0,0,0,minecraft.coal,1,minecraft.stone,1,,,,,,,,,,,,,
minecraft,coarse_dirt,Yes,0,1,0,0,1,0,util.dirt,1,,,,,,,,,,,,,,,
minecraft,coast_armor_trim,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,cobbled_deepslate,Yes,0,2,0,0,0,0,util.stone,1,,,,,,,,,,,,,,,
minecraft,cobbled_deepslate_slab,Yes,0,1,0,0,0,0,util.stone_slab,1,,,,,,,,,,,,,,,
minecraft,cobbled_deepslate_stairs,Yes,0,3,0,0,0,0,util.stone_stairs,1,,,,,,,,,,,,,,,
minecraft,cobbled_deepslate_wall,Yes,0,2,0,0,0,0,util.stone,1,,,,,,,,,,,,,,,
minecraft,cobblestone,Yes,0,2,0,0,0,0,util.stone,1,,,,,,,,,,,,,,,
minecraft,cobblestone_slab,Yes,0,1,0,0,0,0,util.stone_slab,1,,,,,,,,,,,,,,,
minecraft,cobblestone_stairs,Yes,0,3,0,0,0,0,util.stone_stairs,1,,,,,,,,,,,,,,,
minecraft,cobblestone_wall,Yes,0,2,0,0,0,0,util.stone,1,,,,,,,,,,,,,,,
minecraft,cobweb,Yes,2,2,0,0,0,0,,,,,,,,,,,,,,,,,
minecraft,cocoa,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,cocoa_beans,Yes,0,8,0,8,8,0,,,,,,,,,,,,,,,,,
minecraft,cod_bucket,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,command_block,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,command_block_minecart,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,compass,Yes,0,72,8,0,0,8,minecraft.iron_ingot,4,minecraft.redstone_dust,1,,,,,,,,,,,,,
minecraft,composter,Yes,0,0,0,0,14,0,util.wooden_slab,7,,,,,,,,,,,,,,,
util,concrete,No,0,20,0,6,0,0,util.concrete_powder,1,util.water,1,,,,,,,,,,,,,
util,concrete_powder,No,0,20,0,4,0,0,util.dye,1,util.sand,4,minecraft.gravel,4,,,,,,,,,,,
minecraft,conduit,Yes,0,0,0,192,0,64,minecraft.nautilus_shell,8,minecraft.heart_of_the_sea,1,,,,,,,,,,,,,
minecraft,cooked_chicken,Yes,4,2,0,0,8,0,,,,,,,,,,,,,,,,,
minecraft,cooked_cod,Yes,2,0,0,4,8,0,,,,,,,,,,,,,,,,,
minecraft,cooked_mutton,Yes,4,2,0,0,8,0,,,,,,,,,,,,,,,,,
